iter	Passed	Remaining
420	2440	3356
421	2445	3349
422	2452	3345
423	2457	3338
424	2463	3332
425	2469	3328
426	2475	3321
427	2480	3315
428	2487	3310
429	2492	3304
430	2499	3299
431	2505	3293
432	2510	3287
433	2517	3282
434	2522	3276
435	2528	3270
436	2534	3265
437	2540	3259
438	2545	3253
439	2552	3248
440	2557	3241
441	2563	3235
442	2569	3230
443	2574	3223
444	2580	3218
445	2585	3211
446	2590	3205
447	2597	3199
448	2602	3194
449	2608	3187
450	2614	3182
451	2619	3176
452	2625	3169
453	2631	3164
454	2636	3158
455	2641	3151
456	2648	3146
457	2658	3146
458	2667	3143
459	2672	3137
460	2679	3132
461	2684	3126
462	2689	3119
463	2695	3114
464	2701	3107
465	2706	3101
466	2713	3096
467	2719	3091
468	2725	3085
469	2732	3081
470	2738	3075
471	2744	3070
472	2750	3064
473	2756	3058
474	2763	3054
475	2769	3048
476	2775	3043
477	2781	3037
478	2787	3031
479	2793	3026
480	2799	3020
481	2804	3014
482	2810	3008
483	2816	3002
484	2822	2996
485	2828	2991
486	2834	2985
487	2839	2979
488	2845	2973
489	2851	2967
490	2858	2963
491	2863	2956
492	2869	2950
493	2876	2946
494	2882	2940
495	2889	2935
496	2895	2930
497	2900	2924
498	2907	2919
499	2913	2913
500	2918	2907
501	2925	2902
502	2931	2896
503	2937	2890
504	2943	2885
505	2949	2879
506	2955	2873
507	2961	2867
508	2966	2861
509	2972	2856
510	2978	2850
511	2984	2844
512	2990	2839
513	2996	2832
514	3002	2827
515	3007	2821
516	3013	2815
517	3019	2809
518	3024	2803
519	3030	2797
520	3036	2791
521	3042	2786
522	3047	2779
523	3053	2774
524	3059	2768
525	3064	2761
526	3071	2756
527	3077	2750
528	3082	2744
529	3088	2739
530	3094	2732
531	3099	2726
532	3105	2720
533	3110	2714
534	3116	2709
535	3122	2703
536	3128	2697
537	3134	2691
538	3139	2685
539	3145	2679
540	3151	2674
541	3157	2668
542	3163	2662
543	3169	2656
544	3175	2650
545	3180	2644
546	3186	2639
547	3192	2633
548	3198	2627
549	3203	2621
550	3208	2614
551	3214	2609
552	3220	2602
553	3225	2596
554	3231	2590
555	3237	2585
556	3242	2578
557	3248	2573
558	3253	2567
559	3259	2560
560	3265	2555
561	3271	2549
562	3276	2543
563	3283	2538
564	3289	2532
565	3295	2526
566	3302	2521
567	3308	2516
568	3314	2510
569	3320	2504
570	3325	2498
571	3331	2493
572	3336	2486
573	3342	2480
574	3348	2475
575	3354	2468
576	3359	2462
577	3365	2457
578	3370	2450
579	3376	2444
580	3382	2439
581	3387	2433
582	3393	2427
583	3399	2421
584	3404	2415
585	3411	2410
586	3416	2403
587	3422	2397
588	3429	2393
589	3434	2386
590	3440	2381
591	3446	2375
592	3452	2369
593	3458	2363
594	3464	2357
595	3469	2351
596	3475	2346
597	3481	2340
598	3486	2334
599	3493	2328
600	3498	2322
601	3504	2316
602	3510	2311
603	3516	2305
604	3521	2299
605	3528	2294
606	3534	2288
607	3541	2283
608	3546	2277
609	3552	2271
610	3558	2265
611	3564	2259
612	3569	2253
613	3575	2247
614	3581	2241
615	3586	2235
616	3592	2230
617	3598	2224
618	3603	2218
619	3609	2212
620	3614	2206
621	3620	2200
622	3626	2194
623	3631	2188
624	3638	2183
625	3643	2177
626	3649	2171
627	3655	2165
628	3661	2159
629	3666	2153
630	3672	2147
631	3678	2141
632	3683	2135
633	3689	2130
634	3695	2124
635	3700	2118
636	3706	2112
637	3712	2106
638	3717	2100
639	3723	2094
640	3728	2088
641	3734	2082
642	3740	2076
643	3745	2070
644	3751	2064
645	3757	2059
646	3763	2053
647	3769	2047
648	3775	2041
649	3780	2035
650	3787	2030
651	3792	2024
652	3798	2018
653	3804	2012
654	3809	2006
655	3815	2000
656	3821	1994
657	3826	1988
658	3832	1983
659	3838	1977
660	3843	1971
661	3850	1965
662	3855	1959
663	3860	1953
664	3867	1948
665	3872	1942
666	3877	1936
667	3884	1930
668	3890	1924
669	3895	1918
670	3901	1912
671	3906	1906
672	3912	1900
673	3918	1895
674	3924	1889
675	3931	1884
676	3936	1878
677	3942	1872
678	3948	1866
679	3953	1860
680	3959	1854
681	3965	1848
682	3970	1843
683	3976	1836
684	3982	1831
685	3987	1825
686	3993	1819
687	3999	1813
688	4004	1807
689	4010	1801
690	4016	1795
691	4021	1789
692	4027	1784
693	4033	1778
694	4038	1772
695	4044	1766
696	4050	1760
697	4055	1754
698	4062	1749
699	4067	1743
700	4073	1737
701	4079	1731
702	4085	1726
703	4090	1720
704	4096	1714
705	4102	1708
706	4107	1702
707	4113	1696
708	4118	1690
709	4124	1684
710	4130	1678
711	4135	1672
712	4140	1666
713	4146	1660
714	4152	1655
715	4158	1649
716	4164	1643
717	4169	1637
718	4176	1632
719	4181	1626
720	4187	1620
721	4194	1614
722	4199	1609
723	4205	1603
724	4211	1597
725	4217	1591
726	4223	1585
727	4229	1580
728	4234	1574
729	4241	1568
730	4246	1562
731	4252	1556
732	4259	1551
733	4264	1545
734	4269	1539
735	4276	1533
736	4281	1527
737	4287	1522
738	4293	1516
739	4299	1510
740	4305	1505
741	4311	1499
742	4317	1493
743	4323	1487
744	4329	1481
745	4334	1475
746	4341	1470
747	4346	1464
748	4352	1458
749	4357	1452
750	4363	1446
751	4369	1440
752	4375	1435
753	4380	1429
754	4387	1423
755	4392	1417
756	4398	1411
757	4404	1406
758	4410	1400
759	4415	1394
760	4421	1388
761	4427	1382
762	4432	1376
763	4438	1370
764	4443	1364
765	4448	1358
766	4454	1353
767	4460	1347
768	4465	1341
769	4471	1335
770	4476	1329
771	4481	1323
772	4487	1317
773	4492	1311
774	4497	1305
775	4504	1300
776	4509	1294
777	4515	1288
778	4521	1282
779	4527	1276
780	4533	1271
781	4539	1265
782	4544	1259
783	4551	1253
784	4556	1247
785	4561	1242
786	4568	1236
787	4573	1230
788	4578	1224
789	4584	1218
790	4590	1212
791	4595	1207
792	4601	1201
793	4607	1195
794	4613	1189
795	4618	1183
796	4624	1177
797	4630	1172
798	4635	1166
799	4641	1160
800	4647	1154
801	4653	1148
802	4658	1142
803	4665	1137
804	4670	1131
805	4676	1125
806	4682	1119
807	4688	1114
808	4693	1108
809	4699	1102
810	4705	1096
811	4711	1090
812	4717	1085
813	4722	1079
814	4729	1073
815	4734	1067
816	4740	1061
817	4746	1056
818	4752	1050
819	4758	1044
820	4765	1038
821	4770	1033
822	4777	1027
823	4782	1021
824	4788	1015
825	4794	1010
826	4800	1004
827	4805	998
828	4811	992
829	4816	986
830	4822	980
831	4828	974
832	4833	969
833	4838	963
834	4845	957
835	4850	951
836	4855	945
837	4862	939
838	4867	934
839	4873	928
840	4879	922
841	4884	916
842	4890	910
843	4896	905
844	4902	899
845	4908	893
846	4913	887
847	4919	881
848	4925	876
849	4930	870
850	4936	864
851	4942	858
852	4947	852
853	4953	846
854	4959	841
855	4965	835
856	4971	829
857	4976	823
858	4982	817
859	4988	812
860	4994	806
861	4999	800
862	5005	794
863	5011	788
864	5016	782
865	5023	777
866	5028	771
867	5033	765
868	5040	759
869	5046	754
870	5051	748
871	5057	742
872	5063	736
873	5068	730
874	5074	724
875	5079	719
876	5086	713
877	5091	707
878	5097	701
879	5104	696
880	5110	690
881	5116	684
882	5122	678
883	5128	672
884	5134	667
885	5140	661
886	5145	655
887	5152	649
888	5157	644
889	5163	638
890	5169	632
891	5174	626
892	5180	620
893	5186	614
894	5192	609
895	5197	603
896	5204	597
897	5209	591
898	5215	585
899	5221	580
900	5227	574
901	5233	568
902	5238	562
903	5243	556
904	5250	551
905	5256	545
906	5261	539
907	5267	533
908	5272	527
909	5277	521
910	5284	516
911	5289	510
912	5294	504
913	5301	498
914	5306	492
915	5311	487
916	5318	481
917	5323	475
918	5329	469
919	5335	463
920	5341	458
921	5347	452
922	5353	446
923	5358	440
924	5364	434
925	5370	429
926	5375	423
927	5382	417
928	5387	411
929	5393	405
930	5399	400
931	5404	394
932	5409	388
933	5415	382
934	5420	376
935	5426	371
936	5432	365
937	5437	359
938	5443	353
939	5449	347
940	5454	341
941	5460	336
942	5466	330
943	5471	324
944	5477	318
945	5483	313
946	5488	307
947	5495	301
948	5500	295
949	5506	289
950	5513	284
951	5518	278
952	5524	272
953	5530	266
954	5536	260
955	5541	255
956	5547	249
957	5553	243
958	5559	237
959	5565	231
960	5570	226
961	5576	220
962	5582	214
963	5587	208
964	5594	202
965	5599	197
966	5605	191
967	5611	185
968	5616	179
969	5622	173
970	5628	168
971	5633	162
972	5639	156
973	5644	150
974	5650	144
975	5656	139
976	5662	133
977	5668	127
978	5673	121
979	5679	115
980	5685	110
981	5691	104
982	5696	98
983	5701	92
984	5708	86
985	5713	81
986	5719	75
987	5724	69
988	5730	63
989	5736	57
990	5741	52
991	5747	46
992	5752	40
993	5758	34
994	5764	28
995	5770	23
996	5776	17
997	5781	11
998	5787	5
999	5793	0
