iter	MultiClass
0	1.827904261
1	1.72145433
2	1.64770982
3	1.574777646
4	1.513104823
5	1.467184124
6	1.420274125
7	1.376320954
8	1.337717889
9	1.309785285
10	1.274807927
11	1.242425307
12	1.216792277
13	1.189744569
14	1.165647856
15	1.143439182
16	1.126233461
17	1.108414957
18	1.089487994
19	1.072761962
20	1.059814847
21	1.042652469
22	1.027152448
23	1.013412731
24	1.001178151
25	0.9851704219
26	0.9707204047
27	0.9555975421
28	0.9453416121
29	0.9372498321
30	0.9250267751
31	0.9167411594
32	0.9071718202
33	0.8983717362
34	0.8874321293
35	0.87936528
36	0.8702775964
37	0.8624475143
38	0.8537049202
39	0.8471148908
40	0.84208586
41	0.8351329541
42	0.8255249493
43	0.8195857993
44	0.8125511412
45	0.8085259863
46	0.8017000651
47	0.7965814513
48	0.7924214986
49	0.7859023977
50	0.7797220918
51	0.7716302845
52	0.7664444447
53	0.7612973512
54	0.7543376242
55	0.7523710928
56	0.7471819302
57	0.7435342128
58	0.7388405525
59	0.7346049657
60	0.7287045824
61	0.7238681321
62	0.7175850547
63	0.7147524738
64	0.7113761079
65	0.7065073455
66	0.702056518
67	0.6997571533
68	0.6949083458
69	0.690718306
70	0.6880340564
71	0.6829234048
72	0.6806685295
73	0.6780758475
74	0.674738605
75	0.6713729684
76	0.6671055651
77	0.66259385
78	0.6571852056
79	0.6539159482
80	0.6505355616
81	0.6460146523
82	0.6417985919
83	0.6380007027
84	0.6335938526
85	0.6304638993
86	0.6277156796
87	0.6259394283
88	0.6225617631
89	0.6203015346
90	0.6169469775
91	0.6143013764
92	0.6131245934
93	0.6084962438
94	0.6040221056
95	0.6017914767
96	0.5981636093
97	0.5951667865
98	0.592635593
99	0.5897019814
100	0.5868944927
101	0.5839261068
102	0.5810069025
103	0.5776138856
104	0.5758846633
105	0.5737733853
106	0.5702193946
107	0.5689291807
108	0.5670239817
109	0.5656194152
110	0.5632024741
111	0.5615224863
112	0.55945742
113	0.557148311
114	0.5547681469
115	0.552511813
116	0.5489238165
117	0.5466161258
118	0.5433860543
119	0.5412954504
120	0.5398359272
121	0.537837144
122	0.5349502996
123	0.5325015478
124	0.5297377801
125	0.5271513489
126	0.5249518155
127	0.5224117062
128	0.5191458315
129	0.5177791803
130	0.5169170012
131	0.515130799
132	0.5144291327
133	0.5126987123
134	0.5112419337
135	0.5096174636
136	0.5081742579
137	0.5057029461
138	0.5046741744
139	0.5034082995
140	0.5024433944
141	0.5013572391
142	0.4978474034
143	0.4965153994
144	0.4945429501
145	0.4925391974
146	0.4904654642
147	0.4885706964
148	0.4875587668
149	0.4859306845
150	0.4839435096
151	0.4826996734
152	0.4813407761
153	0.480081259
154	0.4780169858
155	0.4752943303
156	0.4736603576
157	0.4716637105
158	0.4705281937
159	0.4689516383
160	0.4673737928
161	0.4663835156
162	0.4648077649
163	0.4638291317
164	0.4624203774
165	0.4617781387
166	0.4601896308
167	0.4593302235
168	0.4575123677
169	0.4564439799
170	0.4554892979
171	0.4546130822
172	0.4529357458
173	0.4512992067
174	0.4501928159
175	0.4487057118
176	0.4474662522
177	0.4463131691
178	0.4450048632
179	0.4435832975
180	0.4428324912
181	0.4406363108
182	0.439342419
183	0.4386662742
184	0.4374343931
185	0.4367542572
186	0.4352539939
187	0.4335042798
188	0.4324002006
189	0.4312111057
190	0.4301324914
191	0.4296266377
192	0.428090964
193	0.4263879921
194	0.4247032936
195	0.4233614405
196	0.4221956634
197	0.4217161724
198	0.4201209489
199	0.4186223013
200	0.416933806
201	0.4163297893
202	0.4153861088
203	0.4146170542
204	0.413620868
205	0.4123960921
206	0.410276019
207	0.4092298944
208	0.4085705044
209	0.4071088675
210	0.4062021773
211	0.4053109591
212	0.4039732086
213	0.4028919432
214	0.4021752996
215	0.4013618099
216	0.4006255209
217	0.4002853469
218	0.3992986695
219	0.3976824384
220	0.3967550891
221	0.3962284102
222	0.3957441278
223	0.3943899424
224	0.393333074
225	0.3924287001
226	0.3914133753
227	0.3907157374
228	0.3893290343
229	0.3881364061
230	0.3869393799
231	0.3861206242
232	0.3851622078
233	0.3839037265
234	0.3828944564
235	0.3825989311
236	0.3822191893
237	0.3817107516
238	0.3805286734
239	0.3796338781
240	0.3783898707
241	0.3779760491
242	0.3774530921
243	0.3769046787
244	0.3760805184
245	0.374926699
246	0.3741762583
247	0.373215374
248	0.3719947224
249	0.3704807774
250	0.3701127826
251	0.3686131966
252	0.3675955526
253	0.3669916878
254	0.3655708138
255	0.3649766435
256	0.3640081463
257	0.3635983347
258	0.3630199509
259	0.3617872402
260	0.3609570923
261	0.3604693471
262	0.3599062807
263	0.3589477345
264	0.3581646881
265	0.3574864834
266	0.3565291506
267	0.3561057377
268	0.3556482748
269	0.3549153117
270	0.3545714134
271	0.3533464295
272	0.3530300839
273	0.352548183
274	0.3516629379
275	0.3507181541
276	0.3499367105
277	0.349208831
278	0.3487476776
279	0.3480903948
280	0.347001594
281	0.3460480063
282	0.3451711392
283	0.3438255123
284	0.3430063416
285	0.3423654225
286	0.341916041
287	0.3409371679
288	0.3403982557
289	0.3401334097
290	0.339504057
291	0.3390093467
292	0.3387441141
293	0.3381088358
294	0.3373456382
295	0.3363394216
296	0.3355757465
297	0.3348670712
298	0.3343611443
299	0.333756741
300	0.332910799
301	0.3319367535
302	0.3315525885
303	0.3309308602
304	0.3303908964
305	0.33004063
306	0.3294659204
307	0.3288033021
308	0.3285343039
309	0.3273516583
310	0.3266746853
311	0.3260685062
312	0.3254138881
313	0.3249470919
314	0.3242559991
315	0.3232048143
316	0.3226530617
317	0.3221884731
318	0.3212825425
319	0.3202082689
320	0.3199079959
321	0.3191544405
322	0.3185263134
323	0.3183409609
324	0.3178076983
325	0.3172738729
326	0.3162860459
327	0.3159054353
328	0.315617655
329	0.3153676649
330	0.3147024112
331	0.3145274971
332	0.3136484493
333	0.3131617307
334	0.3124715799
335	0.3118389032
336	0.3114971214
337	0.3114656411
338	0.3105235076
339	0.3096268713
340	0.3087578017
341	0.3080413964
342	0.3077669042
343	0.3071825939
344	0.3067378198
345	0.3059945013
346	0.305369888
347	0.3043798652
348	0.3039080301
349	0.3034479328
350	0.3027972734
351	0.3015434713
352	0.3008397646
353	0.3004696273
354	0.299997966
355	0.299651409
356	0.29889734
357	0.2985219025
358	0.2974351985
359	0.2967702264
360	0.2962123934
361	0.295616436
362	0.2950850394
363	0.2940682459
364	0.2937280473
365	0.2932477433
366	0.2929225863
367	0.2923081701
368	0.291929978
369	0.2910644601
370	0.2906604777
371	0.2899157563
372	0.2895187595
373	0.2891395833
374	0.2884366302
375	0.2879382191
376	0.2872372609
377	0.2865038536
378	0.2860083479
379	0.2856250073
380	0.2848370402
381	0.284492039
382	0.2837515317
383	0.2833413467
384	0.2829430719
385	0.2826301432
386	0.2821018942
387	0.2814129581
388	0.280967501
389	0.2800988319
390	0.2793782636
